// 中医药典
阿胶	e'jiao
爆区	bao'qu
爆燃	bao'eran
爆晒	bao'shai
爆声	bao'sheng
爆室	bao'shi
爆碎	bao'sui
爆索	bao'suo
爆胎	bao'tai
爆响	bao'xiang
爆炸	bao'zha
爆炸力	bao'zha'li
爆炸物	bao'zha'wu
爆炸性	bao'zha'xing
爆仗	bao'zhang
爆震	bao'zhen
爆竹	bao'zhu
爆竹屑	bao'zhu'xie
杯杯	bei'bei
杯边	bei'bian
杯底	bei'di
杯垫	bei'dian
杯碟	bei'die
杯盖	bei'gai
杯弓蛇影	bei'gong'she'ying
杯酒戈矛	bei'jiu'ge'mao
杯空	bei'kong
杯口	bei'kou
杯里	bei'li
杯面	bei'mian
杯名	bei'ming
杯内	bei'nei
杯盘	bei'pan
杯盘狼藉	bei'pan'lang'ji
杯赛	bei'sai
杯上	bei'shang
杯水车薪	bei'shui'che'xin
杯外	bei'wai
杯型	bei'xing
杯盏	bei'zhan
杯中	bei'zhong
杯中物	bei'zhong'wu
杯装	bei'zhuang
杯子	bei'zi
杯箸	bei'zhu
碑版	bei'ban
碑处	bei'chu
碑底	bei'di
碑顶	bei'ding
碑额	bei'e
碑高	bei'gao
碑馆	bei'guan
碑后	bei'hou
碑记	bei'ji
碑刻	bei'ke
碑廊	bei'lang
碑林	bei'lin
碑楼	bei'lou
碑帽	bei'mao
碑面	bei'mian
碑铭	bei'ming
碑名	bei'ming
碑内	bei'nei
碑牌	bei'pai
碑旁	bei'pang
碑前	bei'qian
碑墙	bei'qiang
碑群	bei'qun
碑上	bei'shang
碑身	bei'shen
碑石	bei'shi
碑首	bei'shou
碑塔	bei'ta
碑体	bei'ti
碑帖	bei'tie
碑亭	bei'ting
碑头	bei'tou
碑拓	bei'ta
碑位	bei'wei
碑文	bei'wen
碑下	bei'xia
碑心	bei'xin
碑阳	bei'yang
碑阴	bei'yin
碑园	bei'yuan
碑镇	bei'zhen
碑志	bei'zhi
碑中	bei'zhong
碑座	bei'zuo
碑碣	bei'jie
碑趺	bei'fu
悲哀	bei'ai
悲昂	bei'ang
悲悲切切	bei'bei'qie'qie
悲惨	bei'can
悲苍	bei'cang
悲颤	bei'chan
悲沉	bei'chen
悲愁	bei'chou
悲楚	bei'chu
悲从中来	bei'cong'zhong'lai
悲悼	bei'dao
悲愤	bei'fen
悲愤填膺	bei'fen'tian'ying
悲风	bei'feng
悲感	bei'gan
悲歌	bei'ge
悲观	bei'guan
悲观主义	bei'guan'zhu'yi
悲嚎	bei'hao
悲号	bei'hao
悲怀	bei'huai
悲欢	bei'huan
悲欢离合	bei'huan'li'he
悲剧	bei'ju
悲剧性	bei'ju'xing
悲苦	bei'ku
悲凉	bei'liang
悲烈	bei'lie
悲悯	bei'min
悲鸣	bei'ming
悲戚	bei'qi
悲凄	bei'qi
悲泣	bei'qi
悲切	bei'qie
悲情	bei'qing
悲秋	bei'qiu
悲伤	bei'shang
悲声	bei'sheng
悲思	bei'si
悲诉	bei'su
悲酸	bei'suan
悲叹	bei'tan
悲啼	bei'ti
悲天悯人	bei'tian'min'eren
悲痛	bei'tong
悲痛欲绝	bei'tong'yu'jue
悲喜	bei'xi
悲喜交集	bei'xi'jiao'ji
悲辛	bei'xin
悲讯	bei'xun
悲抑	bei'yi
悲吟	bei'yin
悲郁	bei'yu
悲怨	bei'yuan
悲者	bei'zhe
悲中	bei'zhong
悲壮	bei'zhuang
悲咤	bei'zha
悲哽	bei'geng
悲怆	bei'chuang
悲恸	bei'tong
悲恻	bei'ce
卑鄙	bei'bi
卑鄙无耻	bei'bi'wu'chi
卑鄙龌龊	bei'bi'wo'chuo
卑不足道	bei'bu'zu'dao
卑辞	bei'ci
卑辞重币	bei'ci'zhong'bi
卑词	bei'ci
卑恭	bei'gong
卑躬	bei'gong
卑躬曲己	bei'gong'qu'ji
卑躬屈节	bei'gong'qu'jie
卑躬屈膝	bei'gong'qu'xi
卑贱	bei'jian
卑礼厚币	bei'li'hou'bi
卑劣	bei'lie
卑陋	bei'lou
卑怯	bei'qie
卑屈	bei'qu
卑弱	bei'eruo
卑视	bei'shi
卑俗	bei'su
卑琐	bei'suo
卑微	bei'wei
卑下	bei'xia
卑言	bei'yan
卑夷	bei'yi
卑庸	bei'yong
卑之无甚高论	bei'zhi'wu'shen'gao'lun
卑职	bei'zhi
卑猥	bei'wei
北爱尔兰	bei'ai'er'lan
北安	bei'an
北岸	bei'an
北奥塞梯	bei'ao'sai'ti
北半球	bei'ban'qiu
北壁	bei'bi
北边	bei'bian
北冰洋	bei'bing'yang
北部	bei'bu
北部湾	bei'bu'wan
北侧	bei'ce
北厂	bei'chang
北朝	bei'chao
北城	bei'cheng
北处	bei'chu
北川	bei'chuan
北窗	bei'chuang
北达科他	bei'da'ke'ta
北大	bei'da
北大仓	bei'da'cang
北大荒	bei'da'huang
北大荒人	bei'da'huang'eren
北大西洋	bei'da'xi'yang
北戴河	bei'dai'he
北岛	bei'dao
北调	bei'diao
北斗	bei'dou
北斗七星	bei'dou'qi'xing
北斗星	bei'dou'xing
北渡	bei'du
北端	bei'duan
北段	bei'duan
北伐	bei'fa
北伐军	bei'fa'jun
北伐战争	bei'fa'zhan'zheng
北方	bei'fang
北方邦	bei'fang'bang
北方化	bei'fang'hua
北方话	bei'fang'hua
北方人	bei'fang'eren
北方四岛	bei'fang'si'dao
北房	bei'fang
北非	bei'fei
北峰	bei'feng
北风	bei'feng
北瓜	bei'gua
北关	bei'guan
北国	bei'guo
北海	bei'hai
北海道	bei'hai'dao
北寒带	bei'han'dai
北旱	bei'han
北航	bei'hang
北河	bei'he
北湖	bei'hu
北湖区	bei'hu'qu
北回归线	bei'hui'gui'xian
北货	bei'huo
北极	bei'ji
北极点	bei'ji'dian
北极光	bei'ji'guang
北极圈	bei'ji'quan
北极星	bei'ji'xing
北极熊	bei'ji'xiong
北家	bei'jia
北尖岛	bei'jian'dao
北江	bei'jiang
北疆	bei'jiang
北礁	bei'jiao
北郊	bei'jiao
北角	bei'jiao
北街	bei'jie
北界	bei'jie
北京	bei'jing
北京大学	bei'jing'da'xue
北京话	bei'jing'hua
北京烤鸭	bei'jing'kao'ya
北京理工大学	bei'jing'li'gong'da'xue
北京人	bei'jing'eren
北京日报	bei'jing'eri'bao
北京时间	bei'jing'shi'jian
北京鸭	bei'jing'ya
北京猿人	bei'jing'yuan'eren
北境	bei'jing
北九州	bei'jiu'zhou
北拒	bei'ju
北军	bei'jun
北卡罗来纳	bei'ka'luo'lai'na
北炕	bei'kang
北靠	bei'kao
北口	bei'kou
北跨	bei'kua
北宽	bei'kuan
北扩	bei'kuo
北里	bei'li
北流	bei'liu
北楼	bei'lou
北麓	bei'lu
北路	bei'lu
北仑	bei'lun
北仑港	bei'lun'gang
北仑河	bei'lun'he
北美	bei'mei
北美洲	bei'mei'zhou
北门	bei'men
北门锁钥	bei'men'suo'yue
北面	bei'mian
北欧	bei'ou
北派	bei'pai
北畔	bei'pan
北片	bei'pian
北票	bei'piao
北平	bei'ping
北坡	bei'po
北齐	bei'qi
北迁	bei'qian
北墙	bei'qiang
北桥	bei'qiao
北曲	bei'qu
北去	bei'qu
北沙参	bei'sha'shen
北山	bei'shan
北上	bei'shang
北史	bei'shi
北首	bei'shou
北宋	bei'song
北塔山	bei'ta'shan
北天极	bei'tian'ji
北眺	bei'tiao
北厅	bei'ting
北头	bei'tou
北图	bei'tu
北屯	bei'tun
北外	bei'wai
北望	bei'wang
北纬	bei'wei
北味	bei'wei
北魏	bei'wei
北温带	bei'wen'dai
北屋	bei'wu
北厦	bei'sha
北线	bei'xian
北泻	bei'xie
北信	bei'xin
北巡	bei'xun
北亚	bei'ya
北雁	bei'yan
北洋	bei'yang
北洋军阀	bei'yang'jun'fa
北药	bei'yao
北医	bei'yi
北医大	bei'yi'da
北移	bei'yi
北翼	bei'yi
北引	bei'yin
北影	bei'ying
北隅	bei'yu
北御	bei'yu
北辕适楚	bei'yuan'shi'chu
北园	bei'yuan
北缘	bei'yuan
北院	bei'yuan
北约	bei'yue
北越	bei'yue
北岳	bei'yue
北运	bei'yun
北运河	bei'yun'he
北栽	bei'zai
北斋	bei'zhai
北宅	bei'zhai
北展	bei'zhan
北站	bei'zhan
北镇	bei'zhen
北征	bei'zheng
北指	bei'zhi
北至	bei'zhi
北种	bei'zhong
北周	bei'zhou
北筑	bei'zhu
北庄	bei'zhuang
北走	bei'zou
北叟失马	bei'sou'shi'ma
北肴	bei'yao
辈辈	bei'bei
辈出	bei'chu
辈儿	bei'er
辈分	bei'fen
辈份	bei'fen
辈数	bei'shu
辈行	bei'hang
辈子	bei'zi
背板	bei'ban
背傍	bei'bang
背包	bei'bao
背包袱	bei'bao'fu
背宝	bei'bao
背背书	bei'bei'shu
背本趋末	bei'ben'qu'mo
背臂	bei'bi
背冰	bei'bing
背部	bei'bu
背菜	bei'cai
背槽抛粪	bei'cao'pao'fen
背侧	bei'ce
背柴	bei'chai
背衬	bei'chen
背城借一	bei'cheng'jie'yi
背驰	bei'chi
背出	bei'chu
背出	bei'chu
背处	bei'chu
背串	bei'chuan
背葱	bei'cong
背带	bei'dai
背袋	bei'dai
背袋	bei'dai
背到	bei'dao
背道	bei'dao
背道而驰	bei'dao'er'chi
背地	bei'di
背地里	bei'di'li
背斗	bei'dou
背读	bei'du
背对背	bei'dui'bei
背多	bei'duo
背多	bei'duo
背反	bei'fan
背飞	bei'fei
背粪	bei'fen
背风	bei'feng
背夫	bei'fu
背夫	bei'fu
背扶	bei'fu
背腹	bei'fu
背负	bei'fu
背杆	bei'gan
背歌	bei'ge
背给	bei'gei
背弓	bei'gong
背鼓	bei'gu
背光	bei'guang
背锅	bei'guo
背过	bei'guo
背好	bei'hao
背黑锅	bei'hei'guo
背厚	bei'hou
背后	bei'hou
背画	bei'hua
背回	bei'hui
背会	bei'hui
背货	bei'huo
背肌	bei'ji
背脊	bei'ji
背记	bei'ji
背夹	bei'jia
背架	bei'jia
背剪	bei'jian
背街	bei'jie
背进	bei'jin
背井离乡	bei'jing'li'xiang
背景	bei'jing
背景图象	bei'jing'tu'xiang
背景音乐	bei'jing'yin'yue
背扛	bei'kang
背靠	bei'kao
背靠背	bei'kao'bei
背筐	bei'kuang
背阔	bei'kuo
背拉	bei'la
背来	bei'lai
背冷	bei'leng
背离	bei'li
背理	bei'li
背粮	bei'liang
背凉	bei'liang
背梁	bei'liang
背笼	bei'long
背篓	bei'lou
背箩	bei'luo
背毛	bei'mao
背煤	bei'mei
背米	bei'mi
背面	bei'mian
背磨	bei'mo
背磨	bei'mo
背囊	bei'nang
背你	bei'ni
背你	bei'ni
背逆	bei'ni
背叛	bei'pan
背篷	bei'peng
背谱	bei'pu
背起	bei'qi
背起	bei'qi
背气	bei'qi
背弃	bei'qi
背枪	bei'qiang
背人	bei'eren
背肉	bei'erou
背肉	bei'erou
背山	bei'shan
背山起楼	bei'shan'qi'lou
背伤	bei'shang
背上	bei'shang
背上	bei'shang
背少	bei'shao
背生	bei'sheng
背绳	bei'sheng
背诗	bei'shi
背尸	bei'shi
背石	bei'shi
背时	bei'shi
背手	bei'shou
背书	bei'shu
背书公司债	bei'shu'gong'si'zhai
背书人	bei'shu'eren
背熟	bei'shu
背水	bei'shui
背水	bei'shui
背水一战	bei'shui'yi'zhan
背送	bei'song
背诵	bei'song
背他	bei'ta
背他	bei'ta
背她	bei'ta
背她	bei'ta
背疼	bei'teng
背痛	bei'tong
背头	bei'tou
背土	bei'tu
背驼	bei'tuo
背娃	bei'wa
背弯	bei'wan
背我	bei'wo
背我	bei'wo
背下	bei'xia
背下	bei'xia
背纤	bei'qian
背向	bei'xiang
背斜	bei'xie
背心	bei'xin
背信	bei'xin
背信弃义	bei'xin'qi'yi
背雪	bei'xue
背烟	bei'yan
背阳	bei'yang
背阴	bei'yin
背影	bei'ying
背约	bei'yue
背越式	bei'yue'shi
背运	bei'yun
背在	bei'zai
背债	bei'zhai
背子	bei'zi
背走	bei'zou
背褡	bei'da
背篼	bei'dou
背鳍	bei'qi
贝币	bei'bi
贝层	bei'ceng
贝雕	bei'diao
贝毒	bei'du
贝多芬	bei'duo'fen
贝尔	bei'er
贝尔格莱德	bei'er'ge'lai'de
贝尔湖	bei'er'hu
贝加尔湖	bei'jia'er'hu
贝江	bei'jiang
贝壳	bei'ke
贝克尔	bei'ke'er
贝扣	bei'kou
贝劳共和国	bei'lao'gong'he'guo
贝勒	bei'le
贝类	bei'lei
贝利	bei'li
贝鲁特	bei'lu'te
贝伦	bei'lun
贝苗	bei'miao
贝母	bei'mu
贝宁	bei'ning
贝肉	bei'erou
贝斯	bei'si
贝司	bei'si
贝虾	bei'xia
贝叶	bei'ye
贝藻	bei'zao
贝冢	bei'zhong
钡餐	bei'can
钡盐	bei'yan
倍尝	bei'chang
倍长	bei'chang
倍儿	bei'er
倍感	bei'gan
倍加	bei'jia
倍觉	bei'jue
倍利	bei'li
倍率	bei'lv
倍起	bei'qi
倍缺	bei'que
倍日并行	bei'eri'bing'xing
倍受	bei'shou
倍数	bei'shu
倍他米松	bei'ta'mi'song
倍添	bei'tian
倍显	bei'xian
倍享	bei'xiang
倍增	bei'zeng
倍蓰	bei'xi
备鞍	bei'an
备案	bei'an
备办	bei'ban
备备课	bei'bei'ke
备备料	bei'bei'liao
备播	bei'bo
备不住	bei'bu'zhu
备菜	bei'cai
备餐	bei'can
备草	bei'cao
备茶	bei'cha
备查	bei'cha
备柴	bei'chai
备尝	bei'chang
备尝艰辛	bei'chang'jian'xin
备车	bei'che
备出	bei'chu
备储	bei'chu
备带	bei'dai
备贷	bei'dai
备冬	bei'dong
备多力分	bei'duo'li'fen
备额	bei'e
备而不用	bei'er'bu'yong
备饭	bei'fan
备肥	bei'fei
备份	bei'fen
备份存储器	bei'fen'cun'chu'qi
备份集	bei'fen'ji
备份文件	bei'fen'wen'jian
备付	bei'fu
备耕	bei'geng
备购	bei'gou
备好	bei'hao
备荒	bei'huang
备货	bei'huo
备饥备荒	bei'ji'bei'huang
备急	bei'ji
备加	bei'jia
备嫁	bei'jia
备件	bei'jian
备降	bei'jiang
备考	bei'kao
备课	bei'ke
备粮	bei'liang
备量	bei'liang
备料	bei'liao
备马	bei'ma
备盘	bei'pan
备票	bei'piao
备品	bei'pin
备齐	bei'qi
备勤	bei'qin
备取	bei'qu
备砂	bei'sha
备上	bei'shang
备试	bei'shi
备受	bei'shou
备送	bei'song
备索	bei'suo
备胎	bei'tai
备妥	bei'tuo
备忘	bei'wang
备忘录	bei'wang'lu
备细	bei'xi
备下	bei'xia
备选	bei'xuan
备养	bei'yang
备用	bei'yong
备用金	bei'yong'jin
备用文卷	bei'yong'wen'juan
备有	bei'you
备灾	bei'zai
备载	bei'zai
备战	bei'zhan
备涨	bei'zhang
备震	bei'zhen
备至	bei'zhi
备置	bei'zhi
备制	bei'zhi
备种	bei'zhong
备注	bei'zhu
备足	bei'zu
惫乏	bei'fa
惫倦	bei'juan
惫懒	bei'lan
惫累	bei'lei
焙槽	bei'cao
焙茶	bei'cha
焙炒	bei'chao
焙成	bei'cheng
焙干	bei'gan
焙好	bei'hao
焙烤	bei'kao
焙烧	bei'shao
焙者	bei'zhe
被爱	bei'ai
被扒	bei'pa
被拔	bei'ba
被搬	bei'ban
被绊	bei'ban
被帮	bei'bang
被绑	bei'bang
被包	bei'bao
被剥	bei'bo
被保	bei'bao
被保险人	bei'bao'xian'eren
被抱	bei'bao
被背	bei'bei
被背书人	bei'bei'shu'eren
被逼	bei'bi
被编	bei'bian
被贬	bei'bian
被标	bei'biao
被憋	bei'bie
被并	bei'bing
被捕	bei'bu
被捕者	bei'bu'zhe
被擦	bei'ca
被裁	bei'cai
被踩	bei'cai
被采	bei'cai
被藏	bei'cang
被测	bei'ce
被蹭	bei'ceng
被插	bei'cha
被查	bei'cha
被拆	bei'chai
被缠	bei'chan
被铲	bei'chan
被唱	bei'chang
被抄	bei'chao
被扯	bei'che
被撤	bei'che
被乘数	bei'cheng'shu
被吃	bei'chi
被除数	bei'chu'shu
被辞	bei'ci
被刺	bei'ci
被挫	bei'cuo
被打	bei'da
被带	bei'dai
被逮	bei'dai
被单	bei'dan
被弹	bei'tan
被捣	bei'dao
被倒	bei'dao
被盗	bei'dao
被盗案	bei'dao'an
被蹬	bei'deng
被点	bei'dian
被雕	bei'diao
被吊	bei'diao
被钓	bei'diao
被调	bei'diao
被叠	bei'die
被钉	bei'ding
被顶	bei'ding
被动	bei'dong
被动式	bei'dong'shi
被抖	bei'dou
被堵	bei'du
被镀	bei'du
被垛	bei'duo
被发	bei'fa
被发文身	bei'fa'wen'shen
被发缨冠	bei'fa'ying'guan
被罚	bei'fa
被翻	bei'fan
被仿	bei'fang
被废	bei'fei
被封	bei'feng
被缝	bei'feng
被否	bei'fou
被扶	bei'fu
被俘	bei'fu
被服	bei'fu
被服厂	bei'fu'chang
被覆	bei'fu
被缚	bei'fu
被改	bei'gai
被盖	bei'gai
被告	bei'gao
被告人	bei'gao'eren
被告席	bei'gao'xi
被格	bei'ge
被隔	bei'ge
被攻	bei'gong
被购	bei'gou
被雇	bei'gu
被刮	bei'gua
被挂	bei'gua
被拐	bei'guai
被关	bei'guan
被管	bei'guan
被灌	bei'guan
被害	bei'hai
被害人	bei'hai'eren
被害者	bei'hai'zhe
被合	bei'he
被褐怀玉	bei'he'huai'yu
被呼	bei'hu
被护	bei'hu
被毁	bei'hui
被混	bei'hun
被挤	bei'ji
被夹	bei'jia
被加数	bei'jia'shu
被歼	bei'jian
被坚执锐	bei'jian'zhi'erui
被检	bei'jian
被拣	bei'jian
被捡	bei'jian
被减	bei'jian
被减数	bei'jian'shu
被交	bei'jiao
被角	bei'jiao
被缴	bei'jiao
被叫	bei'jiao
被接	bei'jie
被截	bei'jie
被劫	bei'jie
被禁	bei'jin
被浸	bei'jin
被揪	bei'jiu
被救	bei'jiu
被拘	bei'ju
被聚	bei'ju
被拒	bei'ju
被锯	bei'ju
被卷	bei'juan
被卡	bei'qia
被开方数	bei'kai'fang'shu
被砍	bei'kan
被考	bei'kao
被啃	bei'ken
被控	bei'kong
被抠	bei'kou
被扣	bei'kou
被捆	bei'kun
被困	bei'kun
被拉	bei'la
被拦	bei'lan
被烙	bei'lao
被勒	bei'lei
被里	bei'li
被立	bei'li
被列	bei'lie
被猎	bei'lie
被领	bei'ling
被掳	bei'lu
被录	bei'lu
被掠	bei'lue
被骂	bei'ma
被埋	bei'mai
被卖	bei'mai
被蒙	bei'meng
被面	bei'mian
被拿	bei'na
被纳	bei'na
被碾	bei'nian
被撵	bei'nian
被拧	bei'ning
被挪	bei'nuo
被殴	bei'ou
被拍	bei'pai
被排	bei'pai
被派	bei'pai
被判	bei'pan
被抛	bei'pao
被刨	bei'pao
被泡	bei'pao
被陪者	bei'pei'zhe
被评为	bei'ping'wei
被破	bei'po
被迫	bei'po
被扑	bei'pu
被铺	bei'pu
被欺	bei'qi
被弃	bei'qi
被掐	bei'qia
被牵	bei'qian
被迁	bei'qian
被遣	bei'qian
被嵌	bei'qian
被呛	bei'qiang
被呛	bei'qiang
被抢	bei'qiang
被敲	bei'qiao
被撬	bei'qiao
被窃	bei'qie
被擒	bei'qin
被请	bei'qing
被囚	bei'qiu
被驱	bei'qu
被劝	bei'quan
被染	bei'eran
被认	bei'eren
被扔	bei'ereng
被褥	bei'eru
被扫	bei'sao
被杀	bei'sha
被筛	bei'shai
被山代河	bei'shan'dai'he
被删	bei'shan
被烧	bei'shao
被赊	bei'she
被摄	bei'she
被射	bei'she
被审	bei'shen
被释	bei'shi
被试	bei'shi
被收	bei'shou
被售	bei'shou
被刷	bei'shua
被摔	bei'shuai
被甩	bei'shuai
被拴	bei'shuan
被说	bei'shuo
被损	bei'sun
被锁	bei'suo
被踏	bei'ta
被抬	bei'tai
被毯	bei'tan
被烫	bei'tang
被掏	bei'tao
被套	bei'tao
被踢	bei'ti
被天席地	bei'tian'xi'di
被填	bei'tian
被条	bei'tiao
被贴	bei'tie
被停	bei'ting
被筒	bei'tong
被统治阶级	bei'tong'zhi'jie'ji
被统治者	bei'tong'zhi'zhe
被偷	bei'tou
被头	bei'tou
被屠	bei'tu
被吐	bei'tu
被推	bei'tui
被退	bei'tui
被吞	bei'tun
被拖	bei'tuo
被围	bei'wei
被喂	bei'wei
被窝	bei'wo
被侮	bei'wu
被误	bei'wu
被袭	bei'xi
被限	bei'xian
被写	bei'xie
被卸	bei'xie
被泻	bei'xie
被絮	bei'xu
被选	bei'xuan
被选举权	bei'xuan'ju'quan
被压	bei'ya
被压迫	bei'ya'po
被押	bei'ya
被验	bei'yan
被养	bei'yang
被邀	bei'yao
被咬	bei'yao
被噎	bei'ye
被移	bei'yi
被疑	bei'yi
被译	bei'yi
被引	bei'yin
被印	bei'yin
被用	bei'yong
被诱	bei'you
被淤	bei'yu
被冤	bei'yuan
被怨	bei'yuan
被允	bei'yun
被运	bei'yun
被砸	bei'za
被宰	bei'zai
被载	bei'zai
被赞	bei'zan
被凿	bei'zao
被扎	bei'zha
被轧	bei'zha
被炸	bei'zha
被摘	bei'zhai
被粘	bei'zhan
被斩	bei'zhan
被占	bei'zhan
被占领土	bei'zhan'ling'tu
被帐	bei'zhang
被招	bei'zhao
被找	bei'zhao
被照	bei'zhao
被罩	bei'zhao
被召	bei'zhao
被遮	bei'zhe
被折	bei'zhe
被震	bei'zhen
被征	bei'zheng
被争	bei'zheng
被整	bei'zheng
被支	bei'zhi
被治	bei'zhi
被逐	bei'zhu
被煮	bei'zhu
被蛀	bei'zhu
被抓	bei'zhua
被拽	bei'zhuai
被转	bei'zhuan
被赚	bei'zhuan
被装	bei'zhuang
被撞	bei'zhuang
被追	bei'zhui
被捉	bei'zhuo
被子	bei'zi
被子植物	bei'zi'zhi'wu
被揍	bei'zou
被租	bei'zu
被阻	bei'zu
被做	bei'zuo
被剜	bei'wan
被谥	bei'shi
被掼	bei'guan
被撸	bei'lu
被攥	bei'zuan
被叩	bei'kou
被湮	bei'yan
被锉	bei'cuo
被褡子	bei'da'zi
被蜇	bei'zhe
被踹	bei'chuai
被黜	bei'chu
奔北	ben'bei
奔波	ben'bo
奔成	ben'cheng
奔驰	ben'chi
奔出	ben'chu
奔凑	ben'cou
奔蹿	ben'cuan
奔窜	ben'cuan
奔到	ben'dao
奔东	ben'dong
奔放	ben'fang
奔赴	ben'fu
奔富	ben'fu
奔后	ben'hou
奔回	ben'hui
奔集	ben'ji
奔进	ben'jin
奔来	ben'lai
奔劳	ben'lao
奔雷	ben'lei
奔里	ben'li
奔流	ben'liu
奔马	ben'ma
奔忙	ben'mang
奔命	ben'ming
奔哪	ben'na
奔跑	ben'pao
奔钱	ben'qian
奔前	ben'qian
奔去	ben'qu
奔泉	ben'quan
奔丧	ben'sang
奔上	ben'shang
奔逝	ben'shi
奔他	ben'ta
奔淌	ben'tang
奔逃	ben'tao
奔腾	ben'teng
奔跳	ben'tiao
奔头	ben'tou
奔突	ben'tu
奔湍	ben'tuan
奔往	ben'wang
奔西	ben'xi
奔袭	ben'xi
奔向	ben'xiang
奔泻	ben'xie
奔行	ben'xing
奔寻	ben'xun
奔逸绝尘	ben'yi'jue'chen
奔涌	ben'yong
奔右	ben'you
奔于	ben'yu
奔跃	ben'yue
奔至	ben'zhi
奔逐	ben'zhu
奔注	ben'zhu
奔走	ben'zou
奔走相告	ben'zou'xiang'gao
苯胺	ben'an
苯巴比妥	ben'ba'bi'tuo
苯酚	ben'fen
苯环	ben'huan
苯基	ben'ji
苯甲胺	ben'jia'an
苯甲基	ben'jia'ji
苯甲酸	ben'jia'suan
苯类	ben'lei
苯酮康	ben'tong'kang
苯妥英钠	ben'tuo'ying'na
苯乙烯	ben'yi'xi
苯中毒	ben'zhong'du
苯酐	ben'gan
本案	ben'an
本版	ben'ban
本报	ben'bao
本报讯	ben'bao'xun
本本	ben'ben
本本主义	ben'ben'zhu'yi
本币	ben'bi
本币国债	ben'bi'guo'zhai
本边	ben'bian
本编	ben'bian
本表	ben'biao
本病	ben'bing
本埠	ben'bu
本部	ben'bu
本草	ben'cao
本草纲目	ben'cao'gang'mu
本册	ben'ce
本场	ben'chang
本厂	ben'chang
本朝	ben'chao
本车	ben'che
本城	ben'cheng
本处	ben'chu
本传	ben'zhuan
本次	ben'ci
本村	ben'cun
本大	ben'da
本代	ben'dai
本当	ben'dang
本党	ben'dang
本岛	ben'dao
本道	ben'dao
本地	ben'di
本地登录	ben'di'deng'lu
本地端口	ben'di'duan'kou
本地风光	ben'di'feng'guang
本地剪贴簿	ben'di'jian'tie'bu
本地路径	ben'di'lu'jing
本地区	ben'di'qu
本地人	ben'di'eren
本地硬盘	ben'di'ying'pan
本店	ben'dian
本儿	ben'er
本法	ben'fa
本藩	ben'fan
本方	ben'fang
本分	ben'fen
本府	ben'fu
本该	ben'gai
本干	ben'gan
本岗	ben'gang
本港	ben'gang
本稿	ben'gao
本歌	ben'ge
本根	ben'gen
本公司	ben'gong'si
本固枝荣	ben'gu'zhi'erong
本关	ben'guan
本馆	ben'guan
本国	ben'guo
本国货币汇票	ben'guo'huo'bi'hui'piao
本户	ben'hu
本画	ben'hua
本会	ben'hui
本机	ben'ji
本机响应	ben'ji'xiang'ying
本辑	ben'ji
本籍	ben'ji
本集	ben'ji
本级	ben'ji
本季	ben'ji
本纪	ben'ji
本家	ben'jia
本件	ben'jian
本讲	ben'jiang
本教	ben'jiao
本街	ben'jie
本节	ben'jie
本界	ben'jie
本届	ben'jie
本金	ben'jin
本酒	ben'jiu
本局	ben'ju
本剧	ben'ju
本卷	ben'juan
本郡	ben'jun
本卡	ben'ka
本刊	ben'kan
本科	ben'ke
本科生	ben'ke'sheng
本可	ben'ke
本课	ben'ke
本款	ben'kuan
本矿	ben'kuang
本来	ben'lai
本来面目	ben'lai'mian'mu
本栏	ben'lan
本垒	ben'lei
本垒打	ben'lei'da
本里	ben'li
本利	ben'li
本连	ben'lian
本料	ben'liao
本领	ben'ling
本炉	ben'lu
本旅	ben'lv
本轮	ben'lun
本庙	ben'miao
本名	ben'ming
本命年	ben'ming'nian
本末	ben'mo
本末倒置	ben'mo'dao'zhi
本能	ben'neng
本年	ben'nian
本年度	ben'nian'du
本派	ben'pai
本盘	ben'pan
本批	ben'pi
本皮	ben'pi
本篇	ben'pian
本片	ben'pian
本票	ben'piao
本品	ben'pin
本期	ben'qi
本旗	ben'qi
本钱	ben'qian
本桥	ben'qiao
本区	ben'qu
本泉	ben'quan
本群	ben'qun
本人	ben'eren
本日	ben'eri
本赛	ben'sai
本赛季	ben'sai'ji
本嗓	ben'sang
本色	ben'se
本山	ben'shan
本上	ben'shang
本少	ben'shao
本身	ben'shen
本神	ben'shen
本省	ben'sheng
本师	ben'shi
本诗	ben'shi
本式	ben'shi
本世纪	ben'shi'ji
本事	ben'shi
本事	ben'shi
本是	ben'shi
本市	ben'shi
本书	ben'shu
本署	ben'shu
本属	ben'shu
本数	ben'shu
本说	ben'shuo
本司	ben'si
本寺	ben'si
本台	ben'tai
本套	ben'tao
本题	ben'ti
本体	ben'ti
本体论	ben'ti'lun
本田	ben'tian
本条	ben'tiao
本厅	ben'ting
本庭	ben'ting
本图	ben'tu
本土	ben'tu
本土化	ben'tu'hua
本团	ben'tuan
本屯	ben'tun
本为	ben'wei
本委	ben'wei
本味	ben'wei
本位	ben'wei
本位主义	ben'wei'zhu'yi
本文	ben'wen
本屋	ben'wu
本无	ben'wu
本息	ben'xi
本溪	ben'xi
本系	ben'xi
本戏	ben'xi
本县	ben'xian
本相	ben'xiang
本相毕露	ben'xiang'bi'lu
本乡	ben'xiang
本乡本土	ben'xiang'ben'tu
本想	ben'xiang
本项	ben'xiang
本小	ben'xiao
本校	ben'xiao
本心	ben'xin
本行	ben'hang
