// 中医药典
阿胶	e'jiao
七叶神安片	qi'ye'shen'an'pian
千柏鼻炎片	qian'bai'bi'yan'pian
强阳保肾丸	qiang'yang'bao'shen'wan
青叶胆	qing'ye'dan
青叶胆片	qing'ye'dan'pian
青礞石	qing'meng'shi
清喉利咽颗粒	qing'hou'li'yan'ke'li
清喉咽合剂	qing'hou'yan'he'ji
清脑降压片	qing'nao'jiang'ya'pian
清宁丸	qing'ning'wan
清热解毒口服液	qing're'jie'du'kou'fu'ye
清瘟解毒丸	qing'wen'jie'du'wan
清眩丸	qing'xuan'wan
清咽丸	qing'yan'wan
拳参	quan'shen
热炎宁颗粒	re'yan'ning'ke'li
仁青常觉	ren'qing'chang'jue
仁青芒觉	ren'qing'mang'jue
人参	ren'shen
人参健脾丸	ren'shen'jian'pi'wan
人参养荣丸	ren'shen'yang'rong'wan
人参叶	ren'shen'ye
人参再造丸	ren'shen'zai'zao'wan
三棱	san'leng
三七叶总皂苷	san'qi'ye'zong'zao'gan
桑菊感冒片	sang'ju'gan'mao'pian
桑叶	sang'ye
桑椹	sang'shen
桑螵蛸	sang'piao'xiao
山菊降压片	shan'ju'jiang'ya'pian
山楂降压片	shan'zha'jiang'ya'pian
山楂	shan'zha
山楂化滞丸	shan'zha'hua'zhi'wan
山楂叶	shan'zha'ye
山楂叶提取物	san'zha'ye'ti'qu'wu
伤痛宁片	shang'tong'ning'pian
商陆	shang'lu
蛇床子	she'chuang'zi
蛇胆陈皮散	she'dan'chen'pi'san
蛇胆川贝散	she'dan'chuan'bei'san
蛇蜕	she'tui
生脉饮	sheng'mai'yin
十六味冬青丸	shi'liu'wei'dong'qing'wan
十全大补丸	shi'quan'da'bu'wan
石膏	shi'gao
石决明	shi'jue'ming
石淋通片	shi'lin'tong'pian
石榴皮	shi'liu'pi
石韦	shi'wei
石菖蒲	shi'chang'pu
石斛	shi'hu
石斛夜光丸	shi'hu'ye'guang'wan
舒肝和胃丸	shu'gan'he'wei'wan
舒筋活络酒	shu'jin'huo'luo'jiu
熟地黄	shu'di'huang
水红花子	shui'hong'hua'zi
水牛角	shui'niu'jiao
水牛角浓缩粉	shui'niu'jiao'nong'suo'fen
丝瓜络	si'gua'luo
四逆汤	si'ni'tang
四物合剂	si'wu'he'ji
松龄血脉康胶囊	song'ling'xue'mai'kang'jiao'nang
苏合香	su'he'xiang
苏合香丸	su'he'xiang'wan
太子参	tai'zi'shen
体外培育牛黄	ti'wai'pei'yu'niu'huang
天南星	tian'nan'xing
通心络胶囊	tong'xin'luo'jiao'nang
万氏牛黄清心丸	wan'shi'niu'huang'qing'xin'wan
万通炎康片	wan'tong'yan'kang'pian
万应锭	wan'ying'ding
万应胶囊	wan'ying'jiao'nang
王不留行	wang'bu'liu'xing
胃舒宁颗粒	wei'shu'ning'ke'li
乌梢蛇	wu'shao'she
西红花	xi'hong'hua
西洋参	xi'yang'shen
夏天无	xia'tian'wu
夏天无片	xia'tian'wu'pian
香砂六君丸	xiang'sha'liu'jun'wan
香砂枳术丸	xiang'sha'zhi'zhu'wan
消咳喘糖浆	xiao'ke'chuan'tang'jiang
消咳喘糖浆	xiao'ke'chuan'tang'jiang
消糜栓	xiao'mi'shuan
消食退热糖浆	xiao'shi'tui're'tang'jiang
消栓通络胶囊	xiao'shuan'tong'luo'jiao'nang
消栓通络片	xiao'shuan'tong'luo'pian
小柴胡颗粒	xiao'chai'hu'ke'li
小柴胡片	xiao'chai'hu'pian
小儿百部止咳糖浆	xiao'er'bai'bu'zhi'ke'tang'jiang
小儿肺热咳喘口服液	xiao'er'fei're'ke'chuan'kou'fu'ye
小儿腹泻宁糖浆	xiao'er'fu'xie'ning
小儿感冒颗粒	xiao'er'gan'mao'ke'li
小儿化食丸	xiao'er'hua'shi'wan
小儿解表颗粒	xiao'er'jie'biao'ke'li
小儿清热止咳口服液	xiao'er'qing're'zhi'ke'kou'fu'ye
小活络丸	xiao'huo'luo'wan
小建中合剂	xiao'jian'zhong'he'ji
小青龙合剂	xiao'qing'long'he'ji
小叶莲	xiao'ye'lian
新清宁片	xin'qing'ning'pian
心宁片	xin'ning'pian
杏仁止咳糖浆	xing'ren'zhi'ke'tang'jiang
徐长卿	xu'chang'qing
玄参	xuan'shen
玄麦甘桔颗粒	xuan'mai'gan'jie'ke'li
血栓心脉宁胶囊	xue'shuan'xin'mai'ning'jiao'nang
血脂宁丸	xue'zhi'ning'wan
洋参保肺丸	yang'shen'bao'fei'wan
药艾条	yao'ai'tiao
夜宁糖浆	ye'ning'tang'jiang
一捻金	yi'nian'jin
乙肝宁颗粒	yi'gan'ning'ke'li
益心通脉颗粒	yi'xin'tong'mai'ke'li
银柴胡	yin'chai'hu
银翘解毒胶囊	yin'qiao'jie'du'jiao'nang
银翘解毒颗粒	yin'qiao'jie'du'ke'li
银翘解毒片	yin'qiao'jie'du'pian
银翘解毒丸	yin'qiao'jie'du'wan
银翘双解栓	yin'qiao'shuang'jie'shuan
银杏叶片	yin'xing'ye'pian
银杏叶提取物	yin'xing'ye'ti'qu'wu
驻车丸	zhu'che'wan
紫河车	zi'he'che
紫花地丁	zi'hua'di'ding
紫石英	zi'shi'ying
紫苏叶	zi'su'ye
紫菀	zi'wan
芫花	yuan'hua
芩暴红止咳片	qin'bao'hong'zhi'ke'pian
荜澄茄	bi'cheng'qie
茴香橘核丸	hui'xiang'ju'he'wan
茺蔚子	chong'wei'zi
莪术	e'zhu
莪术油	e'zhu'you
莪术油	e'zhu'you
蓼大青叶	liao'da'qing'ye
蕲蛇	qi'she
杞菊地黄丸	qi'ju'di'huang'wan
枇杷叶	pi'pa'ye
枇杷叶膏	pi'pa'ye'gao
枳壳	zhi'qiao
枳术丸	zhi'zhu'wan
枸骨叶	gou'gu'ye
枸杞子	gou'qi'zi
槟榔	bing'lang
槟榔四消丸	bing'lang'si'xiao'wan
橘核	ju'he
橘红	ju'hong
橘红痰咳液	ju'hong'tan'ke'ye
橘红丸	ju'hong'wan
