阿胶	e'jiao
加味生化颗粒	jia'wei'sheng'hua'ke'li
加味逍遥丸	jia'wei'xiao'yao'wan
鳖甲	bie'jia
健步丸	jian'bu'wan
健民咽喉片	jian'min'yan'hou'pian
健脾丸	jian'pi'wan
僵蚕	jiang'can
姜黄	jiang'huang
姜流浸膏	jiang'liu'jing'gao
姜酊	jiang'ding
降香	jiang'xiang
焦槟榔	jiao'bing'lang
桔梗	jie'geng
洁白丸	jie'bai'wan
解肌宁嗽丸	jie'ji'ning'sou'wan
芥子	jie'zi
金沸草	jin'fei'cao
金果含片	jin'guo'han'pian
金果榄	jin'guo'lan
金蒲胶囊	jin'pu'jiao'nang
金钱白花蛇	jin'qian'bai'hua'she
金钱草	jin'qian'cao
金嗓利咽丸	jin'sang'li'yan'wan
金嗓散结丸	jin'sang'san'jie'wan
金水宝片	jin'shui'bao'pian
金银花	jin'yin'hua
金樱子	jin'ying'zi
金荞麦	jin'qiao'mai
金礞石	jin'meng'shi
锦灯笼	jin'deng'long
荆芥	jing'jie
荆芥穗	jing'jie'sui
荆芥穗炭	jing'jie'sui'tan
荆芥炭	jing'jie'tan
京大戟	jing'da'ji
精制冠心颗粒	jing'zhi'guan'xin'ke'li
精制冠心片	jing'zhi'guan'xin'pian
颈复康颗粒	jing'fu'kang'ke'li
韭菜子	jiu'cai'zi
九分散	jiu'fen'san
九里香	jiu'li'xiang
九气拈痛丸	jiu'qi'nian'tong'wan
九圣散	jiu'sheng'san
九味羌活颗粒	jiu'wei'qiang'huo'ke'li
九味羌活口服液	jiu'wei'qiang'huo'kou'fu'ye
九味羌活丸	jiu'wei'qiang'huo'wan
九味石灰华散	jiu'wei'shi'hui'hua'san
九香虫	jiu'xiang'chong
九一散	jiu'yi'san
菊花	ju'hua
菊苣	ju'ju
局方至宝散	ju'fang'zhi'bao'san
卷柏	juan'bai
决明子	jue'ming'zi
开胸顺气丸	kai'xiong'shun'qi'wan
坎离砂	kan'li'sha
抗感颗粒	kang'gan'ke'li
抗骨增生胶囊	kang'gu'zeng'sheng'jiao'nang
抗骨增生胶囊	kang'gu'zeng'sheng'jiao'nang
抗骨增生丸	kang'gu'zeng'sheng'wan
